en,ko
erik,에리크
failures,고장
juliet,줄리엣
thrusters,엔진
elderly,노인
repairs,수리
thumbnails,썸네일
arabian,아라비아
swollen,부어
multiplayer,멀티플레이어
basement,지하도
terrace,테라스
fig,fig
falling,떨어지는
graves,무덤
casey,케이시
adviser,충고
slovak,슬로바키아인
syriac,시리아어
tourists,관광객
silk,비단
lectures,강연
sunshine,햇빛
curious,궁금해
hotspot,핫스팟
diagram,다이어그램
geometry,지오메트리
ashley,애슐리
valued,가치
invitation,초대
nest,둥지
clyde,클라이드
flesh,육체
plantation,플랜테이션
terrain,지형
riot,폭동
sequences,시퀀스
dao,dao
diaries,다이어리
adamson,애덤슨
ambush,매복
bitmaps,비트맵
age,나이
predictions,예측
cameroon,카메룬
sub,서브
routed,라우팅
nsw,nsw
shaver,면도기
reaction,반응
breeds,품종
plenty,넉넉한
myanmar,미얀마어
clergy,성직자
uml,uml
raisin,건포도
weber,웨버
warrant,영장
vikings,바이킹
claudius,클라우디우스
williams,윌리엄스
gathering,수집
burial,매장
algerian,알제리
liturgical,전례
jacobs,제이컵스
insufficient,부족함
jumping,점핑
inoculation,접종
baltic,발트
hok,hok
eclipse,이클립스
pleasure,쾌락
key,키키
ally,앨리
angelo,젤로
samir,사미르
nervous,긴장감
affirmative,긍정
afghanistan,아프가니스탄
nigga,흑인
vos,vos
absorbed,흡수
invaded,침략
fiancé,약혼자
bee,꿀벌
shane,셰인
connection,연결
boyfriend,남친
homeland,조국
culmination,정중
useless,쓸모없는
slot,슬롯
quasar,퀘이커
pleasure,즐거움
crane,크레인
catalina,카탈리나
analyze,분석하기
anc,anc
plural,복수
reeves,리브스
stefan,슈테판
warsaw,바르샤바
derivative,미분
humanities,인문학
visualization,시각화
workshops,워크숍
pollination,수분
themes,테마
convince,납득
gains,이득
astronomical,천문
motels,모텔
recover,복구
tower,타워
remote,원격
schilling,실링
stems,줄기
wake,wake
tendency,경향
decline,쇠퇴
monsters,몬스터즈
riley,라일리
sparc,sparc
facade,파사드
affiliation,소속
