et,sk
Pegasus,Pegas
aadlidaam,šľachtičná
aadress,adresa
abajas,zátoka
abielunaine,žena
abikaasa,partner
abivalmis,užitočný
abivalmis,nápomocný
abivalmis,ústretový
absolutism,absolutizmus
absoluutne,absolútny
absurdselt,nezmyselne
abt,opát
adapteerima,prispôsobiť
adekvaatsus,primeranosť
aedmaasikas,jahoda
aedvili,zelenina
aedvili ,zelenina
aedviljad ,zelenina
aeglaselt,pomaly
aerosool,aerosól
afaasia,afázia
agressiivselt,agresívne
ahastus,úzkosť
ahing,gig
ainitine,sústredený
ajajärk,doba
ajakiri,časopis
ajaloolane,historik
ajam,pohon
ajastu,éra
akromaatiline,achromatický
aktiivne,aktívny
akušöör,pôrodník
alaealine,maloletý
alaldi,usmerňovač
alamliik,poddruh
alanemine,úpadok
albiino,albín
aleksandriit,alexandrit
alfabeetiline,abecedný
algul,najprv
alkeemik,alchymista
alkohoolik,ožran
alkohoolik,alkoholik
allianss,aliancia
allkiri,podpis
alpinist,horolezec
altkäemaks,úplatok
alus,opora
ametimees,funkcionár
ametnik,úradník
amfiib,obojživelník
amoraalselt,nemorálne
analgeetikum,analgetikum
anatoomia,anatómia
animeerima,oživiť
anioon,anión
annetaja,donátor
annetaja,darca
anomaalne,anomálne
anonüümne,anonymný
anonüümselt,anonymne
anorak,vetrovka
anoreksia,anorexia
antidepressant,antidepresívum
antiseerum,antisérum
antud,daný
aplaus,aplaus
aplaus,potlesk
apteek,lekáreň
apteeker,lekárnik
arabesk,arabeska
arbiiter,rozhodca
areekapalm,areka
arenemine,evolúcia
arenguetapp,fáza
argpükslikkus,zbabelosť
arheoloogiline,archeologický
arhipelaag,súostrovie
aristokraatlikult,aristokraticky
armiline,zjazvený
armukade,žiarlivý
artikkel,článok
arve,faktúra
aserbaidžaani keel,azerbajdžanský
asetäitja,zástupca
asjatu,márne
asjatu,zbytočný
asjatu,márny
asjatundlikkus,odbornosť
askorbiinhape,Céčko
asterisk,hviezdička
astrofüüsik,astrofyzik
asümmeetriliselt,asymetricky
ateistlik,ateistický
atsetoon,acetón
atsükliline,acyklický
auahne,ctižiadostivý
auaste,hodnosť
audients,publikum
auhind,cena
aukandja,hodnostár
autoklaav,autokláv
automatism,automatizmus
autopiloot,autopilot
autoriõigus,copyright
avalikkus,verejnosť
baguette,bageta
ballast,balast
balustraad,balustráda
barrikaad,barikáda
basaar,bazár
basalt,čadič
basiilika,bazilika
berüllium,berýlium
biplaan,dvojplošník
bistroo,bistro
blamaaž,nemilosť
blamaaž,potupa
botaanik,botanik
botaanika,botanika
brošüür,brožúra
brändi,brandy
buldooser,buldozér
buteen,butén
börsimaakler,maklér
deebet,debet
dekodeerima,dekódovať
delikaatne,delikátny
delikaatne,háklivý
delikaatne,chúlostivý
delikatess,pochúťka
dementsus,šialenstvo
demograafiline,demografický
demokraatlik,demokratický
deposiit,záloha
deposiit,depozit
deriveeritud,odvodený
despootlik,despotický
despootlikult,despoticky
destillatsioon,destilácia
deterministlik,deterministický
detsember,december
detsembrikuu,december
detsigramm,decigram
diagramm,diagram
diktaat,diktát
diplomaatlikult,diplomaticky
disainer,návrhár
dispersioon,rozptyl
dispetšer,odosielateľ
dolomiit,dolomit
džemper,skokan
džiip,džíp
ebaausus,nepoctivosť
ebainimlikkus,neľudskosť
ebapüsivus,nestálosť
ebasiiras,neúprimný
ebatervislik,nezdravý
ebatäielik,neúplný
ebatõhus,neúčinný
ebatüüpiliselt,atypicky
ebavõrdsus,nerovnosť
edasilükkamatu,naliehavý
edel,juhozápad
edendama,podporovať
edenema,postúpiť
edenema,postupovať
edenema,dariť
edutult,neúspešne
eelarve,rozpočet
eelaste,profáza
eelkäija,predchodca
eelnevalt,vopred
eepos,epos
eeskuju,príklad
eessõna,predložka
eestööline,predák
efedriin,efedrín
efekt,výsledok
egalitarism,rovnostárstvo
egotsentriline,egocentrický
ehitis,štruktúra
ehitusmaterjal,stavivo
ehitusmaterjal,stavebnina
eine,jedlo
eksikombel,omylom
