en,ko
abbey,수도원
abdullah,압둘라
aberdeen,애버딘
aborted,중단됨
abortion,낙태
abortions,낙태
abram,아브람
absent,결석
absorbed,흡수
absorbent,흡수
abuse,악용
acceleration,가속
accepts,수락
accommodation,숙박시설
accommodation,숙박
accusation,고소
acf,acf
achievements,기록
acquire,확보
acquire,확보
acquire,습득
acquire,획득
acre,아크레
acre,에이커
acre,아크레
acres,에이커
acropolis,아크로폴리스
actions,동작
activate,활성화하기
active,액티브
actresses,여배우들
actresses,여배우
acute,급성
adamson,애덤슨
adaptation,적응
addiction,중독증
addictive,중독성
addition,덧셈
adelaide,애들레이드
adidas,아디다스
adjustments,조정
admiral,제독
admission,입학
admission,입장료
admission,입학
admits,인정
adolf,아돌프
adopt,입양
adopting,입양
ads,광고
adults,성인
advances,진전
advantages,장점
advertisement,광고
advertiser,광고주
advise,조언
advise,충고
adviser,충고
adviser,충고
aerospace,항공우주
affiliation,소속
affirmative,긍정
afghan,아프가니스탄
afghanistan,아프가니스탄
afterlife,저승
age,나이
ageing,노화
agm,agm
agnes,아그네스
agreements,협정
agreements,협약
aik,aik
ain,아인
ainu,아이누어
airways,항공
akiyama,아키야마
alberto,알베르토
albuquerque,앨버커키
alcohols,알코올
alert,알림
alert,경고
alert,경보
alexandra,알렉산드라
alfonso,알폰소
algebra,대수
algebra,대수학
algerian,알제리
algorithms,알고리즘
alias,별명
alias,별칭
alibaba,알리바바
alignment,정렬
alignment,선형
alliances,동맹
allison,앨리슨
allocate,할당
ally,앨리
ally,앨리
alma,알마
almond,아몬드
alp,alp
alphabet,알파벳
alphabet,문자
alphabet,알파벳
alps,알프스
altaic,알타이어족
alternatives,대안
alto,알토
alvarez,알바레스
alyssa,앨리사
amanda,아만다
ambiguous,애매하다
ambush,매복
amida,아미타
ammunition,탄약
amphibians,양서류
amusement,놀이
ana,아나
anaheim,애너하임
analog,아날로그
analyze,분석하기
anc,anc
ancestor,조상
ancestors,조상
andre,앙드레
andre,안드레
andreas,안드레아스
android,안드로이드
android,android
andré,안드레
angel,엔젤
angela,안젤라
angela,안젤로
angelo,젤로
angelo,안젤로
anger,분노
angling,낚시
angola,앙골라
angola,앙골라
annabelle,애너벨
annotation,주석
answered,답변
antelope,영양
antenna,안테나
anthropology,인류학
antibodies,항체
antiochus,안티오코스
antoine,앙투안
ants,개미
antwerp,앤트워프
anxiety,불안
anytime,언제라도
anyway,어쨌거나
aoa,aoa
apache,아파치
apartments,아파트
app,어플리케이션
appetizer,반주
appetizer,전채
applaud,박수
applets,애플릿
applied,응용
arabian,아라비아
arabian,아라비아어
arabian,아라비아
archer,아처
archer,아처
area,지역
argentines,아르헨티나인
aria,아리아
arkham,아캄
arlington,알링턴
armenian,아르메니아
armour,기갑
armour,갑옷
armoured,기갑
army,육군
arrow,화살
arrow,화살표
artery,동맥
artists,예술가
artwork,아트워크
artwork,삽화
ashley,애슐리
ass,엉덩이
assassin,암살
assassins,암살자
assembled,조립
assembled,조립
asset,자산
assigning,할당
assignment,할당
asteroid,소행성
astronomer,천문학자
astronomical,천문
astronomy,천문학
asylum,어사일럼
asylum,망명
atl,애틀란타
atom,아톰
atom,원자
atomic,원자
atoms,원자
atonement,속죄
attachments,첨부
attributes,속성
attribution,저작자
auburn,오번
auction,경매
auction,옥션
audience,관객
audiences,타겟
auditorium,오디토리움
augsburg,아우크스부르크
augusta,아우구스타
aunt,숙모
aunt,이모
aunt,고모
aunt,이모가
aurora,아우로라
australian,오스트레일리아
authentic,정통
authors,작성자
automotive,자동차
availability,가용성
averages,평균
avg,평균
baby,베이비
bach,바흐
backup,백업
backups,백업
baden,바덴
badminton,배드민턴
baek,baek
bag,가방
bag,봉지
bag,가방
