et,sk
sosistama,pošepkať
inflatsioon,inflácia
suruma,stískať
väärtuslik,hodnotný
rida,riadok
lend,útek
kristalliline,kryštalický
viil,koliesko
endokrinoloog,endokrinológ
mujalt,odinakiaľ
päevane,každodenný
olukord,situácia
kukkuma,padnúť
suurendus,zväčšenie
lammutama,zrúcať
vähk,rak
kalmaar,kalmar
solidaarsus,solidarita
kork,štupeľ
võistkond,družstvo
kahetsema,mrzieť
kodulinn,rodné mesto
perenaine,pani
pahandama,nadávať
taldrik,tanier
mängima,odohrať
alaealine,maloletý
kohvik,kaviareň
maalija,maliar
nakkus,infekcia
kehakultuurlane,športovkyňa
viil,krajec
väiklus,malichernosť
lööma,udrieť
publik,publikum
otu,hlupák
kohtukutse,predvolanie
siiani,potiaľ
stigmata,stigmy
kõik,všetci
rootslanna,švédka
jagatis,proporcia
punkt,bodka
nördimus,rozhorčenie
piloot,pilot
üle,nado
äkki,znenazdania
üleval,hore
hüpertüreoos,hypertyreóza
sinu,tvoj
privileeg,výsada
siluett,silueta
ta,on
sitt,špinavosť
geofüüsika,geofyzika
inimlikkus,humanita
börsimaakler,maklér
tere,ahoj
me,my
külaelanik,dedinčan
noormees,mladík
kutsar,kočiš
vabadus,sloboda
ülevaatus,inšpekcia
kankaan,kankán
häda,núdza
mahtuma,zmestiť
süü,vina
ringi,okolo
valima,vyberať
kaltsiferool,kalciferol
moratoorium,moratórium
abajas,zátoka
valjuhäälselt,hlasno
teeröövel,zbojník
õhupall,balón
järsku,naraz
ühendus,unifikácia
värvaine,zafarbenie
rõhk,prízvuk
trumm,bubon
seos,pomer
muidugi,isto
viitsepresident,podpredseda
maksumäär,sadzba
lakard,korheľ
ükskord,niekedy
teile,vám
berüllium,berýlium
konstantsus,stálosť
muidu,napokon
annetaja,donátor
valk,bielkovina
ohmakas,truľo
kaugel,ďaleko
tegevusetus,neaktívnosť
keel,jazyk
avalikkus,verejnosť
kunagi,kedysi
tüdruk,dievčatko
ühendama,zapojiť
kiirtee,diaľnica
piinlik,trápny
eepos,epos
käima,chodiť
troposfäär,troposféra
suusk,lyža
peakokk,šéfkuchár
hing,ovzdušie
inimene,človek
pesema,omyť
puhuma,viať
käesolev,súčasný
segatud,zmiešaný
kahetsema,ľutovať
tubakas,tabak
äratama,prebudiť
kogum,súbor
deterministlik,deterministický
ootamatult,neočakávane
raev,zúrivosť
kušett,gauč
karu,medveď
haruldane,vzácny
õiglane,spravodlivý
kolmepoolne,trojstranný
uksehoidja,vrátnik
jagelus,spor
kõikuvus,nestálosť
takistama,zabrániť
jäämägi,ľadovec
kaasa,partnerka
sall,šál
vöö,opasok
osutuma,ukázať
revolutsiooniline,revolučný
vabalt,voľne
kino,kino
röster,hriankovač
halvenema,zhoršiť
asetäitja,zástupca
sellepärast,preto
vägi,sila
näitus,výstava
mäletseja,prežúvavec
vanasti,niekedy
käegalöömine,neľúbosť
katastroof,pohroma
auhind,cena
aleksandriit,alexandrit
olematu,neexistujúci
võlad,pohľadávka
ronima,liezť
söökla,jedáleň
tibu,kurča
langema,padnúť
koon,ňufák
liigutama,pohnúť
pagas,batožina
kolimine,presťahovanie
majanduslik,hospodársky
millalgi,niekedy
koorima,šúpať
humaansus,ľudskosť
üür,nájom
vastupidine,obrátený
kutsekool,učilisko
õigus,právo
loll,blázon
lisaks,navyše
värvaine,farbivo
meelelahutuslik,zábavný
tuhatoos,popolník
asjatu,zbytočný
ime,zázrak
