cs,sk
aktivně,aktívne
beruška,lienka
bojiště,bojisko
brabenec,mravec
bratr,brat
brát,brať
brýle,okuliare
buben,bubon
byl,bol
bylo,bolo
byly,boli
bát,báť
během,počas
březen,marec
celkem,spolu
chlubit,vstatovať
chlubit,chváliť
chránit,chrániť
chvění,chvenie
chybět,cnieť
chytrý,múdry
chřipku,chrípku
cokoli,čokoľvek
desky,dosky
digitalizace,digitalizácia
diplomacie,diplomacia
disidentů,disidentov
diskuse,diskusia
diskuse,diskusie
dne,dňa
dněpru,dnepra
dobře,dobre
dobře,správne
dodavatelé,dodávateľov
dohled,dohľad
dokončena,dokončená
dokázat,dokázať
dopadnout,chytiť
dopadnout,dobehnúť
dopis,list
doplnit,doplniť
doplněk,dodatok
doplněn,doplnený
doplněná,doplnený
doplňky,príslušenstvo
dopoledne,dopoludnia
dopoledne,doobedu
doporučené,odporúčané
doporučený,odporúčaný
doporučit,odporučiť
doporučovat,odporúčať
doposud,doposiaľ
dorazit,dostať
dospělá,dospelá
dospělý,dospelý
dost,stačí
dost,dosť
dostat,dostať
dostupnost,dostupnosť
dostávat,dostávať
dovednost,zručnosť
dovolená,dovolenka
dovolit,dovoliť
dovolání,dovolanie
dovést,doviesť
dozvědět,dozvedieť
dvacet,dvadsať
dvě,dve
dál,ďalej
dále,ďalej
dále,navyše
dárky,darčeky
délka,dĺžka
dík,ďakujem
díky,diky
dílčích,čiastkových
dítě,dieťa
děkovat,ďakovať
dělat,pracovať
dříve,predtým
dříve,skôr
dříve,skoršie
důsledek,dôsledok
důvěrný,dôverný
džungle,džungľa
efektivní,účinné
efektivní,efektívne
efektivně,efektívne
ekonom,ekonóm
ekzém,ekzém
elektrické,elektrické
elektronické,elektronické
eliminovat,eliminovať
emise,emisie
engine,engine
erotických,erotických
esejista,esejista
etika,etika
etnické,etnické
evangelium,evanjelium
evidentně,očividne
evidentně,evidentne
evropská,európska
evropské,európskej
evropy,európy
existovalo,existovalo
existovat,existovať
exkurze,exkurzia
exotických,exotických
expedice,expedícia
experimentu,experimentu
externí,vonkajšia
externí,externý
extraliga,extraliga
facebook,facebook
facto,facto
fakulty,fakulty
fandit,fandiť
fantastické,fantastické
fauny,fauny
federace,federácia
festivalu,festivalu
finančně,finančne
firmy,firmy
fluoru,fluóru
folie,fólia
fotbal,futbal
