cs,sk
krytí,krytie
pěstovat,pestovať
křivdy,krivdy
nájemce,nájomca
úspěšnost,úspešnosť
populace,populácia
teploměr,teplomer
kamna,kachle
zakázat,vypnúť
českým,českým
míchat,premiešavať
dílčích,čiastkových
váha,váha
paže,ruky
maloobchod,maloobchod
století,storočia
dort,torta
skvělý,skvelý
spolehlivý,spoľahlivý
kloub,kĺb
mateřský,materský
povinný,povinné
válka,vojna
metrů,metrov
formy,formy
skutečný,reálny
ústava,ústava
slon,slon
omlouvat,ospravedlňovať
chtít,chcieť
představa,vidina
platnost,platnosť
ráje,raja
silniční,cestný
označeno,označené
těžký,vážny
turistických,turistických
skutečně,naozaj
tolerance,strpenie
snižovat,znevažovať
obviněn,obvinený
stavy,stavy
kandidátů,uchádzačov
střet,konflikt
rozcestí,križovatka
samice,samica
všechny,všetky
rozšiřování,rozširovanie
dovolit,dovoliť
střílet,strieľať
manžel,manžel
zapojili,zapojili
formulář,formulár
strávit,stráviť
nebojte,nebojte
úvahy,úvahy
příklad,príklad
skladové,skladové
milé,milé
též,tiež
podívat,pozrieť
jen,len
královský,kráľovský
islám,islam
potkat,stretnúť
maturitou,maturitou
odeslání,odoslanie
přání,želanie
honorář,honorár
fotbal,futbal
sehnat,zohnať
téměř,skoro
oblast,oblasť
poukázky,poukážky
zima,zima
navýšení,zvýšenie
odrůda,odroda
dne,dňa
pampeliška,púpava
světové,svetové
zejména,hlavne
staré,staré
zásada,zásada
mapu,mapu
přiměřeně,vhodne
instituce,inštitúcia
vyžadovat,vyžadovať
svítit,svietiť
udržovat,udržovať
nedostatek,nedostatok
víkendy,víkendy
doplněk,dodatok
disidentů,disidentov
upustit,upustiť
kvalitu,kvalitu
postupně,postupne
přispět,zložiť
jméno,meno
všeobecná,všeobecná
snad,hádam
pohádka,rozprávka
soudce,sudca
telefon,telefón
synonymum,synonymum
poznatek,poznatok
uklidňující,upokojujúci
optimální,optimálny
země,pozemky
jeviště,javisko
snížený,zmenšený
ihned,ihneď
medvědi,medvede
probudit,prebudiť
povzbudit,povzdbudiť
studna,studňa
pozitivně,pozitívne
úplná,úplná
příslušný,príslušný
stín,tieň
přejít,prejsť
vést,radiť
nastaven,nastavený
komentovat,komentovať
přát,želať
kříž,kríž
úseku,úseku
účelové,účelové
směs,zmes
projevit,prejaviť
narození,narodenie
stane,stane
najít,nájsť
letadlo,lietadlo
přítelkyně,priateľka
první,prvý
sekundární,sekundárny
čáp,bocian
důchodce,dôchodca
nakolik,nakoľko
člověka,človeka
terminál,terminál
stavbami,stavbami
uveřejnění,uverejnenie
snímání,zobrazovanie
jemnost,jemnosť
dvě,dve
peněžní,peňažný
technologie,technológia
komunismus,komunizmus
řešit,riešť
instruktora,inštruktora
závazná,záväzná
lásku,lásku
dovolená,dovolenka
oblečení,šaty
restaurace,reštaurácia
mocnosti,mocnosti
úložným,úložným
radiální,radiálny
mléčné,mliečne
sekvence,sekvencie
písek,piesok
tam,tam
stanovuje,stanovuje
údaje,údaje
honit,prenasledovať
potažené,potiahnuté
výhoda,výhoda
navrhovaných,navrhovaných
karlovo,karolovo
koření,korenie
předání,odovzdanie
funguje,funguje
sledování,sledovanie
potěšení,potešenie
elektro,elektro
rovnice,rovnica
obyvatel,obyvateľov
související,súvisiace
spoje,spoje
červen,jún
úhradu,úhradu
převzít,prevziať
stanout,postaviť
dobře,dobre
pivnice,piváreň
trvalý,trvalý
moct,smieť
sopka,sopka
probíhá,prebieha
zpoždění,oneskorenie
vymezení,vymedzenie
měřeno,merané
zlomil,zlomil
borůvka,čučoriedka
klesat,klesať
chránit,chrániť
návštěv,návštev
sázet,stavať
mnohým,mnohým
líbat,bozkávať
proslov,vystúpenie
časových,časových
jizva,jazvu
východ,východ
dřevo,drevo
zjednodušuje,zjednodušuje
karoserie,karoséria
míč,lopta
jen,iba
kategorizovat,kategorizovať
ukázala,ukázala
předpovídat,predpovedať
zkáza,záhuba
výklad,výklad
místo,lokalita
test,test
části,súčiastky
provoz,prevádzka
humanitární,humanitárny
ovlivnit,ovplyvniť
seznam,zoznam
svatost,posvätnosť
dělat,pracovať
masážní,masážny
otevřeně,otvorene
tenhle,tento
zkrácené,skrátené
parní,parný
tlak,tlak
související,pridružené
titulní,titulný
monarchie,monarchie
způsobilé,spôsobilé
vzory,vzory
hospoda,krčma
speciální,špeciálny
omezení,obmedzenia
patnáctý,pätnásty
příjemný,potešujúci
pořad,program
přesunout,presunúť
svěží,svieži
klid,vyrovnanosť
sněhový,snehový
chlubit,vstatovať
věty,vety
ptačí,vtáčí
tušení,tušenie
místní,lokálny
rušit,narúšať
ocasy,chvosty
jezírko,jazierko
přijít,prepadnúť
mít,mať
dlouhé,dlhé
tvář,líce
spolupracovníci,spolupracovníci
země,štáty
substrát,substrát
podílet,podieľať
loupež,lúpež
přírodní,prírodná
nárokovat,nárokovať
medu,medu
pokoji,izbe
zámek,zámok
sídla,sídla
malování,maľovanie
videu,videu
objektiv,objektív
odehrát,odohrať
odhalit,odhaliť
kavkazu,kaukazu
konstruktérem,konštruktérom
gólu,gólu
nosiče,nosičov
města,mestá
skřítek,škriatok
držitel,držiteľ
linie,línia
hlemýžď,slimák
skalách,skalách
zahynout,zahynúť
magnet,magnet
vystoupení,vystúpenie
trička,trička
přísady,zložky
přehlédnutelný,prehliadnuteľný
holčička,dievčatko
vyhrožovat,hroziť
navenek,navonok
zábavné,zábavné
povedený,podarený
beruška,lienka
expozice,expozícia
výkonu,výkonu
přechodné,prechodné
ledaže,ak
kožešiny,kožušín
krystal,kryštál
části,časti
sloužit,slúžiť
přijet,doraziť
pokoj,izba
povídat,vravieť
okolí,okolia
rušit,vyrušovať
umístění,umiestnenie
naučit,naučiť
stihne,stihne
panovat,panovať
míchat,miešať
hormonální,hormonálne
rozšířený,rozšírený
její,jej
následující,nasledujúci
veterináři,veterinári
rozvinuté,vyvinuté
podpořit,podporiť
letový,letový
hřiště,ihrisko
týkající,vzťahujúci
porodní,pôrodný
ukončení,zastavenie
déšť,dážď
uctívali,uctievali
strojvedoucí,rušňovodič
velbloud,ťava
obvyklý,bežný
kroužek,krúžok
připomínka,pripomienka
nejdřív,najskôr
bylo,bolo
létal,lietal
radikální,radikálny
vyřešení,vyriešenie
navržený,navrhnutý
cizinci,cudzinci
snížený,redukovaný
podnikatel,podnikateľ
ovlivněn,ovplyvnený
vyhřívané,vyhrievané
jednou,jedenkrát
jarní,jarný
kolík,štipec
člověk,človek
vyšlo,vyšlo
ovšem,isto
sever,sever
táta,oco
léčit,liečiť
stisknout,stisnúť
typických,typických
převést,previesť
evangelium,evanjelium
nakonec,napokon
hodinek,hodiniek
manuál,manuál
sestup,zostup
jinde,inde
vyšetření,vyšetrenie
skončí,skončí
výhodou,výhodou
exotických,exotických
tvoří,tvorí
přijatelný,prijateľný
tělocvičně,telocvični
zaměstnavatele,zamestnávateľa
povolen,povolený
kupříkladu,napríklad
