en,ko,word_freqs_ententen
abdullah,압둘라,466
aberdeen,애버딘,1138
abortion,낙태,152044
absorbed,흡수,113791
accepts,수락,87114
accommodation,숙박시설,270152
accommodation,숙박,270152
accusation,고소,28541
acquire,습득,590828
acquire,확보,590828
acquire,획득,590828
acre,에이커,69194
acre,아크레,69194
acute,급성,138155
admission,입학,191830
admission,입장료,191830
admits,인정,73880
adolf,아돌프,2475
adopt,입양,212541
advances,진전,214891
advantages,장점,441793
advertisement,광고,112230
advise,충고,233147
advise,조언,233147
adviser,충고,82470
aerospace,항공우주,36263
affiliation,소속,46023
afghan,아프가니스탄,3899
agnes,아그네스,572
agreements,협정,225600
agreements,협약,225600
ain,아인,5145
airways,항공,20069
alberto,알베르토,514
alert,경보,194366
alert,경고,194366
alert,알림,194366
alexandra,알렉산드라,1384
alfonso,알폰소,215
algebra,대수학,22084
algebra,대수,22084
algerian,알제리,283
algorithms,알고리즘,78213
alias,별칭,24360
alias,별명,24360
alignment,정렬,99305
alignment,선형,99305
allison,앨리슨,1912
ally,앨리,68129
alma,알마,14117
alphabet,알파벳,42784
alphabet,문자,42784
alps,알프스,1875
alternatives,대안,301844
alto,알토,8160
amanda,아만다,3684
ambiguous,애매하다,37587
ammunition,탄약,49304
amusement,놀이,68271
ana,아나,10889
analog,아날로그,72030
ancestor,조상,28477
ancestors,조상,89169
andre,앙드레,2467
andre,안드레,2467
andreas,안드레아스,957
android,안드로이드,48165
android,android,48165
angela,안젤라,2224
angela,안젤로,2224
angelo,젤로,1314
angelo,안젤로,1314
anger,분노,247597
angola,앙골라,699
answered,답변,279588
antenna,안테나,79107
anthropology,인류학,27756
antoine,앙투안,403
antwerp,앤트워프,340
apache,아파치,10147
apartments,아파트,174876
app,어플리케이션,450833
arabian,아라비아,1261
arabian,아라비아어,1261
archer,아처,7076
aria,아리아,4783
arlington,알링턴,9502
armour,기갑,27782
armour,갑옷,27782
armoured,기갑,9377
arrow,화살표,80144
arrow,화살,80144
ashley,애슐리,7593
assembled,조립,112077
asset,자산,312694
asteroid,소행성,22203
astronomer,천문학자,12983
astronomical,천문,31601
astronomy,천문학,37075
asylum,망명,46462
asylum,어사일럼,46462
atom,아톰,40171
atom,원자,40171
atoms,원자,56479
attributes,속성,213655
attribution,저작자,15025
auburn,오번,6352
auction,옥션,251249
auction,경매,251249
audiences,타겟,170048
auditorium,오디토리움,27537
augusta,아우구스타,7227
aunt,이모가,65845
aunt,고모,65845
aunt,이모,65845
aunt,숙모,65845
aurora,아우로라,13574
automotive,자동차,141945
availability,가용성,293320
bach,바흐,1550
backup,백업,255093
baden,바덴,285
badminton,배드민턴,10772
bag,봉지,708102
bag,가방,708102
baghdad,바그다드,973
balanced,균형,277552
baldwin,보두앵,2009
